E_COMMODITY,UNIT_QY1,UNIT_QY2,CTY_CODE,CTY_NAME,DISTRICT,DIST_NAME,YEAR,MONTH,CC_MO,QTY_1_MO,ALL_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,YEAR,MONTH,E_COMMODITY
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,-,TOTAL FOR ALL DISTRICTS,2016,02,1288,50530288,18206798,31157,1369,16643592,42315128,14405303,37195458,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,02,"ST. ALBANS, VT",2016,02,4,75125,23345,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,04,"BOSTON, MA",2016,02,11,324033,84046,0,0,84046,347033,67878,295471,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,07,"OGDENSBURG, NY",2016,02,18,250606,176359,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,09,"BUFFALO, NY",2016,02,26,460170,220060,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,10,"NEW YORK CITY, NY",2016,02,192,6697795,2643523,0,0,2643523,6839920,2058294,5509144,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,11,"PHILADELPHIA, PA",2016,02,0,0,0,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,13,"BALTIMORE, MD",2016,02,13,362059,137125,0,0,137125,363132,106643,236446,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,14,"NORFOLK, VA",2016,02,55,2602449,1121121,0,0,1121121,2624186,1046913,2366512,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,15,"WILMINGTON, NC",2016,02,1,17200,6200,0,0,6200,17237,6200,17237,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,16,"CHARLESTON, SC",2016,02,70,2514332,888473,0,0,888473,2528536,525314,1870454,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,17,"SAVANNAH, GA",2016,02,75,2524420,809848,0,0,809848,2534712,785995,2439692,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,18,"TAMPA, FL",2016,02,23,644893,191400,3000,1292,188400,646259,167227,554683,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,19,"MOBILE, AL",2016,02,9,208347,55720,0,0,55720,212584,55720,212584,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,23,"LAREDO, TX",2016,02,18,265034,110159,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,24,"EL PASO, TX",2016,02,7,80279,115651,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,25,"SAN DIEGO, CA",2016,02,7,125309,58032,0,0,20000,67886,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,27,"LOS ANGELES, CA",2016,02,444,15576425,6207546,11844,26,6195702,15970272,5754765,14783050,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,28,"SAN FRANCISCO, CA",2016,02,79,3442988,1272585,0,0,1272585,3681872,1003037,3141072,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,29,"COLUMBIA-SNAKE, OR",2016,02,2,36238,10000,0,0,10000,36238,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,30,"SEATTLE, WA",2016,02,93,3430506,1331218,0,0,1126712,2949593,974044,2725249,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,34,"PEMBINA, ND",2016,02,2,37268,48654,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,36,"DULUTH, MN",2016,02,7,268445,109376,0,0,64400,161000,64400,161000,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,38,"DETROIT, MI",2016,02,39,4305156,458726,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,39,"CHICAGO, IL",2016,02,2,36144,10000,0,0,10000,36144,10000,36144,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,41,"CLEVELAND, OH",2016,02,4,35307,28713,16313,51,12400,35497,12400,35497,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,49,"SAN JUAN, PR",2016,02,8,308887,127785,0,0,127785,353987,127785,353987,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,52,"MIAMI, FL",2016,02,12,258051,108065,0,0,108065,261341,108065,261341,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,53,"HOUSTON-GALVESTON, TX",2016,02,66,2612261,1761487,0,0,1761487,2647699,1530623,2195895,2016,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,70,LOW VALUE,2016,02,1,3030561,91581,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0020,NAFTA,02,"ST. ALBANS, VT",2016,02,4,75125,23345,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0022,OECD,02,"ST. ALBANS, VT",2016,02,4,75125,23345,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0023,NATO,02,"ST. ALBANS, VT",2016,02,4,75125,23345,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0026,APEC,02,"ST. ALBANS, VT",2016,02,4,75125,23345,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,1220,CANADA,02,"ST. ALBANS, VT",2016,02,4,75125,23345,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,1XXX,NORTH AMERICA,02,"ST. ALBANS, VT",2016,02,4,75125,23345,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0014,PACIFIC RIM COUNTRIES,04,"BOSTON, MA",2016,02,10,307615,76599,0,0,76599,330615,67878,295471,2016,02,3915100000
3915100000,KG,-,0026,APEC,04,"BOSTON, MA",2016,02,10,307615,76599,0,0,76599,330615,67878,295471,2016,02,3915100000
3915100000,KG,-,0027,ASEAN,04,"BOSTON, MA",2016,02,4,190067,30828,0,0,30828,190067,30828,190067,2016,02,3915100000
3915100000,KG,-,5330,INDIA,04,"BOSTON, MA",2016,02,1,16418,7447,0,0,7447,16418,0,0,2016,02,3915100000
3915100000,KG,-,5570,MALAYSIA,04,"BOSTON, MA",2016,02,4,190067,30828,0,0,30828,190067,30828,190067,2016,02,3915100000
3915100000,KG,-,5700,CHINA,04,"BOSTON, MA",2016,02,4,71548,17921,0,0,17921,71548,9200,36404,2016,02,3915100000
3915100000,KG,-,5820,HONG KONG,04,"BOSTON, MA",2016,02,2,46000,27850,0,0,27850,69000,27850,69000,2016,02,3915100000
3915100000,KG,-,5XXX,ASIA,04,"BOSTON, MA",2016,02,11,324033,84046,0,0,84046,347033,67878,295471,2016,02,3915100000
3915100000,KG,-,0020,NAFTA,07,"OGDENSBURG, NY",2016,02,18,250606,176359,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0022,OECD,07,"OGDENSBURG, NY",2016,02,18,250606,176359,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0023,NATO,07,"OGDENSBURG, NY",2016,02,18,250606,176359,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0026,APEC,07,"OGDENSBURG, NY",2016,02,18,250606,176359,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,1220,CANADA,07,"OGDENSBURG, NY",2016,02,18,250606,176359,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,1XXX,NORTH AMERICA,07,"OGDENSBURG, NY",2016,02,18,250606,176359,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0020,NAFTA,09,"BUFFALO, NY",2016,02,26,460170,220060,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0022,OECD,09,"BUFFALO, NY",2016,02,26,460170,220060,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0023,NATO,09,"BUFFALO, NY",2016,02,26,460170,220060,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0026,APEC,09,"BUFFALO, NY",2016,02,26,460170,220060,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,1220,CANADA,09,"BUFFALO, NY",2016,02,26,460170,220060,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,1XXX,NORTH AMERICA,09,"BUFFALO, NY",2016,02,26,460170,220060,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0003,EUROPEAN UNION,10,"NEW YORK CITY, NY",2016,02,1,55326,28875,0,0,28875,55326,28875,55326,2016,02,3915100000
3915100000,KG,-,0014,PACIFIC RIM COUNTRIES,10,"NEW YORK CITY, NY",2016,02,112,3635105,1248216,0,0,1248216,3742791,907321,3010723,2016,02,3915100000
3915100000,KG,-,0017,CAFTA-DR,10,"NEW YORK CITY, NY",2016,02,1,40000,34400,0,0,34400,40000,34400,40000,2016,02,3915100000
3915100000,KG,-,0021,TWENTY LATIN AMERICAN REPUBLICS,10,"NEW YORK CITY, NY",2016,02,1,40000,34400,0,0,34400,40000,34400,40000,2016,02,3915100000
3915100000,KG,-,0022,OECD,10,"NEW YORK CITY, NY",2016,02,5,259913,81392,0,0,81392,266459,28875,55326,2016,02,3915100000
3915100000,KG,-,0023,NATO,10,"NEW YORK CITY, NY",2016,02,4,204587,52517,0,0,52517,211133,0,0,2016,02,3915100000
3915100000,KG,-,0025,EURO AREA,10,"NEW YORK CITY, NY",2016,02,0,0,0,0,0,0,0,0,0,2016,02,3915100000
3915100000,KG,-,0026,APEC,10,"NEW YORK CITY, NY",2016,02,119,3799464,1308202,0,0,1308202,3907150,967307,3175082,2016,02,3915100000
3915100000,KG,-,0027,ASEAN,10,"NEW YORK CITY, NY",2016,02,13,353441,93046,0,0,93046,353441,93046,353441,2016,02,3915100000
3915100000,KG,-,0028,CACM,10,"NEW YORK CITY, NY",2016,02,1,40000,34400,0,0,34400,40000,34400,40000,2016,02,3915100000
3915100000,KG,-,2110,EL SALVADOR,10,"NEW YORK CITY, NY",2016,02,1,40000,34400,0,0,34400,40000,34400,40000,2016,02,3915100000
3915100000,KG,-,2XXX,CENTRAL AMERICA,10,"NEW YORK CITY, NY",2016,02,1,40000,34400,0,0,34400,40000,34400,40000,2016,02,3915100000
3915100000,KG,-,4010,SWEDEN,10,"NEW YORK CITY, NY",2016,02,1,55326,28875,0,0,28875,55326,28875,55326,2016,02,3915100000
3915100000,KG,-,4279,FRANCE,10,"NEW YORK CITY, NY",2016,02,0,0,0,0,0,0,0,0,0,2016,02,3915100000
