E_COMMODITY,UNIT_QY1,UNIT_QY2,CTY_CODE,CTY_NAME,DISTRICT,DIST_NAME,YEAR,MONTH,CC_MO,QTY_1_MO,ALL_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,YEAR,MONTH,E_COMMODITY
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,-,TOTAL FOR ALL DISTRICTS,2017,05,1435,53993869,20434155,21199,3725,18997579,51644477,18183576,49481373,2017,05,3915100000
3915100000,KG,-,0001,OPEC,-,TOTAL FOR ALL DISTRICTS,2017,05,7,510486,181001,0,0,181001,510486,181001,510486,2017,05,3915100000
3915100000,KG,-,0003,EUROPEAN UNION,-,TOTAL FOR ALL DISTRICTS,2017,05,16,526969,392130,2952,4,389178,526965,294178,507059,2017,05,3915100000
3915100000,KG,-,0014,PACIFIC RIM COUNTRIES,-,TOTAL FOR ALL DISTRICTS,2017,05,854,35036564,11898440,2600,7,11895840,35694223,11439081,33987409,2017,05,3915100000
3915100000,KG,-,0017,CAFTA-DR,-,TOTAL FOR ALL DISTRICTS,2017,05,21,453397,356849,0,0,356849,464763,356849,464763,2017,05,3915100000
3915100000,KG,-,0020,NAFTA,-,TOTAL FOR ALL DISTRICTS,2017,05,133,2787603,1325058,15647,3714,0,0,0,0,2017,05,3915100000
3915100000,KG,-,0021,TWENTY LATIN AMERICAN REPUBLICS,-,TOTAL FOR ALL DISTRICTS,2017,05,50,1376702,724268,0,0,569749,1116075,569749,1116075,2017,05,3915100000
3915100000,KG,-,0022,OECD,-,TOTAL FOR ALL DISTRICTS,2017,05,156,3461728,1760905,18599,3718,432895,674655,326070,637431,2017,05,3915100000
3915100000,KG,-,0023,NATO,-,TOTAL FOR ALL DISTRICTS,2017,05,130,3079363,1574906,15647,3714,404367,563753,297542,526529,2017,05,3915100000
3915100000,KG,-,0024,LAFTA,-,TOTAL FOR ALL DISTRICTS,2017,05,29,923305,367419,0,0,212900,651312,212900,651312,2017,05,3915100000
3915100000,KG,-,0025,EURO AREA,-,TOTAL FOR ALL DISTRICTS,2017,05,15,486236,374087,2952,4,371135,486232,276135,466326,2017,05,3915100000
3915100000,KG,-,0026,APEC,-,TOTAL FOR ALL DISTRICTS,2017,05,1112,42467909,14595500,18247,3721,13267842,40345359,12584483,38283884,2017,05,3915100000
3915100000,KG,-,0027,ASEAN,-,TOTAL FOR ALL DISTRICTS,2017,05,203,10398389,2693362,2600,7,2690762,10415500,2464162,10060839,2017,05,3915100000
