TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,19950101,1995,52,1995,32,ARG,Argentina,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1455875,FALSE,-1,N/A,,FALSE,1455875,FALSE,,FALSE,,546969,546969,0,TRUE,FALSE
C,A,19950101,1995,52,1995,36,AUS,Australia,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33753,FALSE,-1,N/A,,FALSE,33753,FALSE,,FALSE,,20423,20423,0,TRUE,FALSE
C,A,19950101,1995,52,1995,40,AUT,Austria,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2210,FALSE,-1,N/A,,FALSE,2210,FALSE,,FALSE,,2281,2281,0,TRUE,FALSE
C,A,19950101,1995,52,1995,58,BEL,Belgium-Luxembourg (...1998),X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10942600,FALSE,-1,N/A,,FALSE,10942600,FALSE,,FALSE,,5829923,5829923,0,TRUE,FALSE
C,A,19950101,1995,52,1995,76,BRA,Brazil,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,689750,FALSE,-1,N/A,,FALSE,689750,FALSE,,FALSE,,451042,451042,0,TRUE,FALSE
C,A,19950101,1995,52,1995,124,CAN,Canada,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,59665132,FALSE,-1,N/A,,FALSE,59665132,FALSE,,FALSE,,31978832,31978832,0,TRUE,FALSE
C,A,19950101,1995,52,1995,152,CHL,Chile,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,697437,FALSE,-1,N/A,,FALSE,697437,FALSE,,FALSE,,451476,451476,0,TRUE,FALSE
C,A,19950101,1995,52,1995,156,CHN,China,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4440416,FALSE,-1,N/A,,FALSE,4440416,FALSE,,FALSE,,1230191,1230191,0,TRUE,FALSE
C,A,19950101,1995,52,1995,170,COL,Colombia,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24000,FALSE,-1,N/A,,FALSE,24000,FALSE,,FALSE,,20100,20100,0,TRUE,FALSE
C,A,19950101,1995,52,1995,188,CRI,Costa Rica,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,3915,"Waste, parings and scrap, of plastics",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,200663,FALSE,-1,N/A,,FALSE,200663,FALSE,,FALSE,,84736,84736,0,TRUE,FALSE
