"Standard Report - Exports"
"Current date: 04/18/2024 12:10 PM (Eastern Daylight Time)"
"Country","Commodity","Time","Quantity 1",
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","1995","68,542,148"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","1996","68,837,378"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","1997","73,320,213"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","1998","83,768,780"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","1999","90,046,655"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2000","130,049,713"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2001","250,588,827"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2002","263,091,505"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2003","250,978,234"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2004","268,716,744"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2005","280,248,658"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2006","356,474,035"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2007","482,095,593"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2008","483,658,648"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2009","591,947,826"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2010","530,945,246"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2011","567,043,836"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2012","609,063,641"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2013","633,206,709"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2014","771,954,901"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2015","738,325,628"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2016","713,965,885"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2017","636,375,445"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2018","417,344,453"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2019","263,538,980"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2020","261,350,720"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2021","245,887,585"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2022","183,013,023"
"World Total","3915100000 Waste,paring,scrap,of Plast,of Polymrs Of Ethylene (kg)","2023","154,359,225"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","1995","11,078,165"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","1996","6,409,369"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","1997","6,550,144"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","1998","8,743,418"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","1999","25,828,516"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2000","30,520,699"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2001","39,934,932"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2002","81,150,958"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2003","24,833,888"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2004","18,008,323"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2005","18,196,608"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2006","17,314,200"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2007","19,666,888"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2008","30,191,184"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2009","65,436,876"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2010","48,440,254"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2011","56,072,152"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2012","43,992,405"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2013","33,920,939"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2014","28,502,591"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2015","23,923,951"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2016","35,305,329"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2017","44,613,664"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2018","26,634,018"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2019","38,387,423"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2020","24,034,466"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2021","17,181,130"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2022","15,559,425"
"World Total","3915200000 Waste,paring,scrap,of Plast,of Polymrs Of Styrene (kg)","2023","25,923,426"
"World Total","3915300000 Waste,parings,scrap,of Plas,of Polymrs Vinl Chlori (kg)","1995","24,457,771"
"World Total","3915300000 Waste,parings,scrap,of Plas,of Polymrs Vinl Chlori (kg)","1996","22,142,852"
"World Total","3915300000 Waste,parings,scrap,of Plas,of Polymrs Vinl Chlori (kg)","1997","30,771,306"
"World Total","3915300000 Waste,parings,scrap,of Plas,of Polymrs Vinl Chlori (kg)","1998","36,298,142"
"World Total","3915300000 Waste,parings,scrap,of Plas,of Polymrs Vinl Chlori (kg)","1999","37,994,247"
"World Total","3915300000 Waste,parings,scrap,of Plas,of Polymrs Vinl Chlori (kg)","2000","47,263,032"
"World Total","3915300000 Waste,parings,scrap,of Plas,of Polymrs Vinl Chlori (kg)","2001","46,937,456"
