"Standard Report - Exports"
"Current date: 04/18/2024 12:52 PM (Eastern Daylight Time)"
"Country","Commodity","Time","Quantity 1",
"World Total","7204100000 Cast Iron Waste And Scrap (t)","1995","1,044,439"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","1996","629,989"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","1997","826,465"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","1998","583,671"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","1999","639,077"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2000","690,004"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2001","686,790"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2002","858,130"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2003","1,092,537"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2004","1,039,926"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2005","1,175,592"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2006","1,506,045"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2007","1,118,789"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2008","589,095"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2009","696,615"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2010","523,374"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2011","531,773"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2012","548,342"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2013","357,931"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2014","301,100"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2015","165,494"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2016","161,042"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2017","580,722"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2018","798,445"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2019","1,388,166"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2020","1,921,818"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2021","1,764,002"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2022","966,639"
"World Total","7204100000 Cast Iron Waste And Scrap (t)","2023","429,633"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","1995","352,415"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","1996","303,380"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","1997","354,726"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","1998","640,716"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","1999","258,803"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2000","470,939"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2001","441,180"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2002","343,536"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2003","504,167"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2004","503,569"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2005","569,599"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2006","542,631"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2007","1,008,085"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2008","1,150,023"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2009","1,131,120"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2010","926,349"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2011","646,464"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2012","623,640"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2013","644,132"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2014","550,317"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2015","518,443"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2016","654,743"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2017","494,148"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2018","553,201"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2019","424,594"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2020","476,368"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2021","293,797"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2022","404,164"
"World Total","7204210000 Stainless Steel Waste And Scrap (t)","2023","518,888"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","1995","682,362"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","1996","675,766"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","1997","979,309"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","1998","745,392"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","1999","555,183"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2000","816,068"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2001","604,571"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2002","715,289"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2003","887,402"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2004","1,813,101"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2005","1,043,420"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2006","1,523,805"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2007","1,879,095"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2008","1,687,815"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2009","1,288,308"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2010","917,041"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2011","949,362"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2012","717,351"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2013","523,720"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2014","535,556"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2015","549,587"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2016","765,252"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2017","712,492"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2018","892,140"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2019","1,327,769"
