TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,19950101,1995,52,1995,58,BEL,Belgium-Luxembourg (...1998),X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,766312,FALSE,-1,N/A,,FALSE,766312,FALSE,,FALSE,,157107,157107,0,TRUE,FALSE
C,A,19950101,1995,52,1995,76,BRA,Brazil,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6062,FALSE,-1,N/A,,FALSE,6062,FALSE,,FALSE,,887,887,0,TRUE,FALSE
C,A,19950101,1995,52,1995,124,CAN,Canada,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,429118000,FALSE,-1,N/A,,FALSE,429118000,FALSE,,FALSE,,83932312,83932312,0,TRUE,FALSE
C,A,19950101,1995,52,1995,156,CHN,China,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3172875,FALSE,-1,N/A,,FALSE,3172875,FALSE,,FALSE,,264844,264844,0,TRUE,FALSE
C,A,19950101,1995,52,1995,222,SLV,El Salvador,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36144,FALSE,-1,N/A,,FALSE,36144,FALSE,,FALSE,,4736,4736,0,TRUE,FALSE
C,A,19950101,1995,52,1995,246,FIN,Finland,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,796,FALSE,-1,N/A,,FALSE,796,FALSE,,FALSE,,34977,34977,0,TRUE,FALSE
C,A,19950101,1995,52,1995,251,FRA,France,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1187,FALSE,-1,N/A,,FALSE,1187,FALSE,,FALSE,,17450,17450,0,TRUE,FALSE
C,A,19950101,1995,52,1995,276,DEU,Germany,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,158198,FALSE,-1,N/A,,FALSE,158198,FALSE,,FALSE,,30000,30000,0,TRUE,FALSE
C,A,19950101,1995,52,1995,340,HND,Honduras,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,184882,FALSE,-1,N/A,,FALSE,184882,FALSE,,FALSE,,25308,25308,0,TRUE,FALSE
C,A,19950101,1995,52,1995,360,IDN,Indonesia,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500000,FALSE,-1,N/A,,FALSE,500000,FALSE,,FALSE,,373027,373027,0,TRUE,FALSE
C,A,19950101,1995,52,1995,372,IRL,Ireland,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,158531,FALSE,-1,N/A,,FALSE,158531,FALSE,,FALSE,,23471,23471,0,TRUE,FALSE
C,A,19950101,1995,52,1995,410,KOR,Rep. of Korea,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11812,FALSE,-1,N/A,,FALSE,11812,FALSE,,FALSE,,4131,4131,0,TRUE,FALSE
C,A,19950101,1995,52,1995,484,MEX,Mexico,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45746256,FALSE,-1,N/A,,FALSE,45746256,FALSE,,FALSE,,16056000,16056000,0,TRUE,FALSE
C,A,19950101,1995,52,1995,528,NLD,Netherlands,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1577229,FALSE,-1,N/A,,FALSE,1577229,FALSE,,FALSE,,282922,282922,0,TRUE,FALSE
C,A,19950101,1995,52,1995,682,SAU,Saudi Arabia,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,84000,FALSE,-1,N/A,,FALSE,84000,FALSE,,FALSE,,8411,8411,0,TRUE,FALSE
C,A,19950101,1995,52,1995,764,THA,Thailand,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70199,FALSE,-1,N/A,,FALSE,70199,FALSE,,FALSE,,7041,7041,0,TRUE,FALSE
C,A,19950101,1995,52,1995,826,GBR,United Kingdom,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,598749,FALSE,-1,N/A,,FALSE,598749,FALSE,,FALSE,,302081,302081,0,TRUE,FALSE
C,A,19950101,1995,52,1995,862,VEN,Venezuela,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,68921,FALSE,-1,N/A,,FALSE,68921,FALSE,,FALSE,,13783,13783,0,TRUE,FALSE
C,A,19960101,1996,52,1996,58,BEL,Belgium-Luxembourg (...1998),X,Export,842,USA,USA,0,W00,World,H1,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23742,FALSE,-1,N/A,,FALSE,23742,FALSE,,FALSE,,9973,9973,0,FALSE,FALSE
C,A,19960101,1996,52,1996,76,BRA,Brazil,X,Export,842,USA,USA,0,W00,World,H0,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13562,FALSE,-1,N/A,,FALSE,13562,FALSE,,FALSE,,1355,1355,0,TRUE,FALSE
C,A,19960101,1996,52,1996,124,CAN,Canada,X,Export,842,USA,USA,0,W00,World,H1,HS,TRUE,4707,Waste and scrap of paper and paperboard,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,412582000,FALSE,-1,N/A,,FALSE,412582000,FALSE,,FALSE,,54311411,54311411,0,FALSE,FALSE
